Product Name,Category,Price,Description,Context_Tags
"Sony WH-1000XM5","Headphones",348,"Industry leading noise cancelling headphones with 30 hour battery life and crystal clear hands free calling.","Travel, Work, Commute"
"Logitech MX Master 3S","Mouse",99,"Ergonomic performance wireless mouse with ultra-fast scrolling and 8K DPI tracking.","Productivity, Office, Creative"
"Keychron Q1 Pro","Keyboard",199,"QMK/VIA wireless custom mechanical keyboard with aluminum body and hot-swappable keys.","Gaming, Programming, Mac"
"Dell XPS 15","Laptop",1499,"High performance laptop with 4K OLED display and NVIDIA RTX 4050, perfect for creators.","Creative, Business, Student"
"Osprey Nebula 32","Backpack",120,"Durable everyday backpack with TSA-friendly laptop sleeve and breathable back panel.","Travel, Commute, School"
"Kindle Paperwhite","Tablet",139,"Waterproof e-reader with adjustable warm light and 10 weeks of battery life.","Reading, Travel, Relax"
"Anker 737 Power Bank","Accessory",149,"24000mAh portable charger capable of charging a laptop with 140W high-speed output.","Travel, Emergency, Tech"
"Herman Miller Aeron","Furniture",1250,"Ergonomic office chair with breathable mesh and fully adjustable lumbar support.","Office, Health, Long Hours"
"Sony A7 IV","Camera",2498,"Full-frame mirrorless camera with 33MP sensor and 4K 60p video recording for hybrids shooters.","Photography, Vlogging, Professional"
"Nike Pegasus 40","Footwear",130,"Reliable daily running shoe with React foam and Zoom Air units for a responsive ride.","Fitness, Running, Casual"